Unnamed: 0.1,Unnamed: 0,author,comment,voteCount,replyCount,channel,country
71,71,@mamadouniangguisse7467,"Israël terrosta !!! Povo muito ruim , mal  , povo mais ruim do mundo!!!",0,0,CNN Brasil,Brasil
72,72,@liviapaco1618,So no brasil eu vejo as pessoas desejando a morte de criancas,0,0,CNN Brasil,Brasil
73,73,@gleicemarquesgoncalves6796,"È claro que deve ampliar, tem que acabar com os terroristas",0,0,CNN Brasil,Brasil
74,74,@HAYAHSHA,"Já estou de saco cheio de observar esses intentos pelo mundo!<br><br>Um Exército convencional combatendo uma Guerrilha com a essência do Terror com o mesmo requinte. Nisso, paga-se com a vida sem nada a ver ter com os interesses as pessoas que não atacaram ninguém e não querem nada de ninguém.<br><br>O I.S.R.A.E.L político suprido pelas forças do EUA irá provocar uma escalada nesse conflito cometendo o também Terror provocados por esses ataques abruptos, que tende a tornar uma situação muito pior ampliando cada vez mais a intensificação dos ataques.",0,0,CNN Brasil,Brasil
75,75,@game_over610,Sionistas S A F A D O S !,0,0,CNN Brasil,Brasil
76,76,@liviapaco1618,"Que custo alto matar criancas,nao consigo achar certo....ta muito feio...pelo q vejo e mais a cnn q faz isso cnn brasil...a inglesa posta mais sobre o genocidio",0,0,CNN Brasil,Brasil
77,77,@osmarincorincostar8885,Que Deus abençoe sempre  A ISRAEL e proteja todos os soldados da IDF 🙏🙏🇮🇱🇮🇱 💪AVANTE ISRAEL,6,0,CNN Brasil,Brasil
78,78,@giseleesmeraldo4035,Israel nunca terá paz enquanto existir o Hamas,2,0,CNN Brasil,Brasil
79,79,@rosangelaxavier2456,"Se eles sao tao bons porque ainda não pagaram os terroristas, mas acho que eles,querem mesmo é anoquilar os palestinos essa não cola Israel.",0,0,CNN Brasil,Brasil
80,80,@biasoares1523,Tenho a impressão que pagam.o Hamas pra Israel ter pretexto pra fazer esse genocídio em.Gaza,9,0,CNN Brasil,Brasil
81,81,@biasoares1523,E qual é local seguro ????,9,0,CNN Brasil,Brasil
82,82,@etore.grecchijuniorgrecchi8910,Deveriam prender terroristas perpetuamente esse tipo de atrocidades são práticas do mau com U. Somente imbecilizados apoiam o terrorismo nem imaginam às propostas do Hamas Irã etc. O dia que souberem se arrependerao,0,0,CNN Brasil,Brasil
83,83,@veraluciacosta2071,Alguém tem que parar esse psicopata Natenyus!,1,0,CNN Brasil,Brasil
84,84,@cristiano99179,a regra é clara: pacífico é o oceano.  &quot;não mexe com quem tá quieto&quot;,25,0,CNN Brasil,Brasil
85,85,@eduardomunhoz923,Não dão as notícias . Não mostram os tuneis cheio de água,2,0,CNN Brasil,Brasil
86,86,@CristinaSilva-bh2pq,Nenhum lugar em Gaza e seguro.,12,0,CNN Brasil,Brasil
87,87,@ialengalileusoares8448,"Venezuela e Guiana, em breve entrarão em guerra.",0,0,CNN Brasil,Brasil
88,88,@ialengalileusoares8448,Israel é cercados de inimigos. Ninguém merece!,0,0,CNN Brasil,Brasil
89,89,@user-cd3rf1ix9o,Impressionante a quantidade de criança em Gaza.,6,0,CNN Brasil,Brasil
90,90,@juliocesardasilva7996,Parabéns Israel tem que eliminar o inimigo 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,0,0,CNN Brasil,Brasil
91,91,@web-navigator,Obviamente.,0,0,CNN Brasil,Brasil
92,92,@diaa-yl9zg,Quem acredita na cnn hahaha... estado de israel metendo genociidio na galera e td ok,0,0,CNN Brasil,Brasil
93,93,@user-cy3dd1vm4z,Aí não tem bom.,6,0,CNN Brasil,Brasil
94,94,@athenaviena,Parabéns Israel 🙏🇮🇱,2,0,CNN Brasil,Brasil
95,95,@taniadure2338,Força Israel. Avante até a vitória.,12,0,CNN Brasil,Brasil
96,96,@taniadure2338,Até acabar com o Hamas Israel não vai baixar a guarda!!!,0,0,CNN Brasil,Brasil
97,97,@eliseudasilvapessoa8881,Faixa de Gaza tem que ser desabitada abandonada,9,0,CNN Brasil,Brasil
98,98,@catiamotta7061,Gostaria de saber qual é o local seguro?,13,0,CNN Brasil,Brasil
99,99,@marlucedesouzacruz1015,"israel não quer destruir o hamas coisa nenhuma. ele quer mesmo é humilhar o povo palestino, destruindo suas casas e deixa-las no chão. israel quer deixar dois milhóes de palestinos ao relento, com fome, com frio, com sede, sem os seus lares. israel quer se vingar de todo o povo palestino,. quantas mortes serão necessárias para aplacar a ira de israel?",1,0,CNN Brasil,Brasil
